ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-8235,0.00462963,1.0000,cup,216.0000,g
I-8235,0.00115741,1.0000,L,864.0000,g
I-9295,0.06666667,1.0000,slice,15.0000,g
I-10149,0.16666667,1.0000,Tbsp,6.0000,g
I-10149,0.08333333,1.0000,CT,12.0000,g
I-10149,0.01388889,1.0000,BUNCH,72.0000,g
I-10760,0.02777778,1.0000,cup,36.0000,g
I-10760,0.02083333,1.0000,leaf,48.0000,g
I-10760,0.00200000,1.0000,HEAD,500.0000,g
I-11361,0.03205128,1.0000,fl oz,31.2000,g
I-11361,0.00400000,1.0000,CT,250.0000,g
I-11361,0.00400000,1.0000,cup,250.0000,g
I-11361,0.00100000,1.0000,qt,1000.0000,g
I-11363,0.03278689,1.0000,fl oz,30.5000,g
I-11363,0.00409836,1.0000,cup,244.0000,g
I-11363,0.00377358,1.0000,CT,265.0000,g
I-11363,0.00102459,1.0000,qt,976.0000,g
I-11365,0.03278689,1.0000,fl oz,30.5000,g
I-11365,0.00409836,1.0000,cup,244.0000,g
I-11365,0.00216450,1.0000,CT,462.0000,g
I-11365,0.00102459,1.0000,qt,976.0000,g
I-11553,0.00328947,1.0000,BUNCH,304.0000,g
I-11656,0.00434783,1.0000,CT,230.0000,g
I-11664,0.03448276,1.0000,LOAF,29.0000,slice
I-11804,1.00000000,1.0000,ea,1.0000,SHEET
I-12478,0.03333333,1.0000,LOAF,30.0000,slice
I-13205,0.00354610,1.0000,CT,282.0000,g
I-13225,0.00549451,1.0000,CT,182.0000,g
I-13253,0.00549451,1.0000,CT,182.0000,g
I-13302,0.05555556,1.0000,Tbsp,18.0000,g
I-13302,0.00714286,1.0000,CT,140.0000,g
I-13302,0.00347222,1.0000,cup,288.0000,g
I-13303,1.00000000,1.0000,CT,1.0000,ea
I-13327,0.03378378,1.0000,fl oz,29.6000,g
I-13327,0.00909091,1.0000,pak,110.0000,g
I-14041,1.00000000,1.0000,473ML,1.0000,bottle
I-14181,0.07142857,1.0000,slice,14.0000,g
I-16217,0.00271003,1.0000,CT,369.0000,g
I-16497,0.00271003,1.0000,CT,369.0000,g
I-17203,0.18867925,1.0000,tsp,5.3000,g
I-17203,0.06250000,1.0000,Tbsp,16.0000,g
I-17203,0.00392157,1.0000,cup,255.0000,g
I-17205,0.16666667,1.0000,BASKET,6.0000,oz
I-17205,0.00694444,1.0000,cup,144.0000,g
I-17616,0.07142857,1.0000,slice,14.0000,g
I-17618,0.07142857,1.0000,slice,14.0000,g
I-17670,0.02000000,1.0000,Kg,50.0000,slice
I-18803,2.15517241,250.0000,ml,116.0000,g
I-19283,0.00210526,1.0000,bag,475.0000,g
I-19662,0.03278689,1.0000,fl oz,30.5000,g
I-19662,0.00409836,1.0000,cup,244.0000,g
I-19662,0.00211416,1.0000,CT,473.0000,g
I-19662,0.00102459,1.0000,qt,976.0000,g
I-19737,0.00103306,1.0000,L,968.0000,g
I-20348,0.23809524,1.0000,tsp,4.2000,g
I-20348,0.07692308,1.0000,Tbsp,13.0000,g
I-20348,0.00480769,1.0000,cup,208.0000,g
I-22026,0.21276596,1.0000,tsp,4.7000,g
I-22026,0.00106383,1.0000,L,940.0000,g
I-22443,0.00381679,1.0000,L,262.0000,g
I-23336,0.00381679,1.0000,cup,262.0000,g
I-26014,0.22222222,1.0000,tsp,4.5000,g
I-26014,0.07352941,1.0000,Tbsp,13.6000,g
I-26014,0.00458716,1.0000,cup,218.0000,g
I-26667,0.03527337,1.0000,oz,28.3500,g
I-26667,0.00588235,1.0000,ea,170.0000,g
I-26667,0.00220459,1.0000,lb,453.6000,g
I-27407,0.01333333,1.0000,ea,75.0000,g
I-28770,0.18867925,1.0000,tsp,5.3000,g
I-28770,0.06250000,1.0000,Tbsp,16.0000,g
I-28770,0.00392157,1.0000,cup,255.0000,g
I-31126,0.02000000,1.0000,500UN,50.0000,g
I-31126,0.02000000,1.0000,ea,50.0000,g
I-31900,0.20408163,1.0000,tsp,4.9000,g
I-31900,0.03448276,1.0000,fl oz,29.0000,g
I-31992,0.03278689,1.0000,fl oz,30.5000,g
I-31992,0.00409836,1.0000,cup,244.0000,g
I-31992,0.00102459,1.0000,L,976.0000,g
I-31992,0.00102459,1.0000,qt,976.0000,g
I-40609,0.02500000,1.0000,CT,40.0000,g
I-40935,0.01190476,1.0000,slice,84.0000,g
I-43559,0.02000000,1.0000,CT,50.0000,g
I-45114,0.03333333,0.5000,fl oz,15.0000,g
I-49967,1.00000000,1.0000,ml,1.0000,g
I-60809,0.00406504,1.0000,cup,246.0000,g
I-60809,0.00101626,1.0000,qt,984.0000,g
I-65787,0.02000000,1.0000,ea,50.0000,g
I-65787,0.03529412,3.0000,oz,85.0000,g
